"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Jayson Tatum","BOS","SF,PF","2,225","649","342","51","78",".466",".854","240","213","74","2,732","531","487","1.61","160"
"Joel Embiid","PHI","PF,C","2,183","670","274","112","66",".548",".857","66","226","66","2,284","661","662","1.21","205"
"Luka Doncic","DAL","PG,SG","2,138","569","529","33","90",".496",".742","185","236","66","2,391","515","534","2.24","166"
"Shai Gilgeous-Alexander","OKC","PG,SG","2,135","329","371","65","112",".510",".905","58","192","68","2,416","669","646","1.93","192"
"Giannis Antetokounmpo","MIL","PF,C","1,959","742","359","51","52",".553",".645","47","247","63","2,023","498","660","1.45","197"
"Anthony Edwards","MIN","SG,SF","1,946","458","350","58","125",".459",".756","213","259","79","2,842","319","494","1.35","186"
"Julius Randle","NYK","PF,C","1,936","767","316","21","49",".460",".757","218","216","77","2,737","402","440","1.46","233"
"Donovan Mitchell","CLE","PG,SG","1,922","289","301","27","99",".484",".867","245","180","68","2,432","319","434","1.67","168"
"Trae Young","ATL","PG","1,914","217","741","9","80",".430",".886","154","300","73","2,541","566","443","2.47","104"
"Zach LaVine","CHI","SG,SF","1,913","345","326","18","69",".485",".848","204","194","77","2,768","363","469","1.68","159"
"Damian Lillard","POR","PG","1,866","277","425","18","50",".463",".914","244","191","58","2,107","510","312","2.23","109"
"De'Aaron Fox","SAC","PG","1,826","306","447","23","83",".512",".780","119","181","73","2,435","343","563","2.47","172"
"DeMar DeRozan","CHI","SF,PF,SG","1,816","343","377","36","83",".504",".872","46","153","74","2,681","456","611","2.46","186"
"Jaylen Brown","BOS","SG,SF","1,784","459","232","26","75",".491",".765","163","197","67","2,405","263","516","1.18","172"
"Pascal Siakam","TOR","PF,C","1,720","556","414","36","65",".480",".774","93","169","71","2,652","367","537","2.45","228"
"Lauri Markkanen","UTH","PF,C","1,691","570","123","38","42",".499",".875","200","127","66","2,273","349","371","0.97","137"
"Nikola Jokic","DEN","PF,C","1,690","817","678","47","87",".632",".822","57","247","69","2,324","341","589","2.74","174"
"Jalen Green","HOU","SG","1,683","284","281","18","59",".417",".786","187","200","76","2,602","364","379","1.41","131"
"Jordan Poole","WAS","PG,SG","1,675","225","369","21","63",".430",".870","214","252","82","2,459","361","336","1.46","214"
"Mikal Bridges","BKN","SG,SF","1,671","364","273","61","91",".468",".895","169","127","83","2,962","316","424","2.15","159"
"Stephen Curry","GSW","PG,SG","1,648","341","352","20","52",".493",".915","273","179","56","1,941","257","286","1.97","117"
"Jalen Brunson","NYK","PG,SG","1,633","241","421","15","61",".491",".829","134","142","68","2,378","325","453","2.96","152"
"Kyrie Irving","DAL","PG,SG","1,623","304","331","45","67",".494",".905","188","128","60","2,240","247","406","2.59","165"
"Ja Morant","MEM","PG SUS","1,596","358","493","16","66",".466",".749","92","206","61","1,948","372","474","2.39","100"
"LeBron James","LAL","PG,SG,SF,PF","1,590","457","375","32","50",".500",".768","121","178","55","1,954","251","488","2.11","88"
"CJ McCollum","NOR","PG,SG","1,568","328","429","38","69",".437",".769","211","183","75","2,649","183","376","2.34","153"
"Bam Adebayo","MIA","PF,C","1,529","688","240","61","88",".540",".806","1","187","75","2,598","324","601","1.28","208"
"Dejounte Murray","ATL","PG,SG","1,515","389","448","19","112",".464",".832","133","160","74","2,693","158","479","2.80","106"
"Domantas Sabonis","SAC","PF,C","1,510","973","573","39","65",".615",".742","31","230","79","2,736","325","546","2.49","279"
"Klay Thompson","GSW","SG,SF","1,509","286","163","29","49",".436",".879","301","123","69","2,279","116","245","1.33","130"
"Kristaps Porzingis","BOS","PF,C","1,505","546","174","100","58",".498",".851","137","137","65","2,120","354","370","1.27","196"
"Darius Garland","CLE","PG,SG","1,491","185","538","9","85",".462",".863","169","199","69","2,448","278","353","2.70","148"
"Franz Wagner","ORL","SG,SF","1,485","329","283","17","77",".485",".842","130","167","80","2,609","271","412","1.69","183"
"Devin Booker","PHO","SG,SF,PG","1,471","240","293","18","51",".494",".855","111","145","53","1,835","306","416","2.02","159"
"Jimmy Butler","MIA","SF,PF,SG","1,466","374","340","21","117",".539",".851","36","101","64","2,138","472","443","3.37","80"
"Anthony Davis","LAL","PF,C","1,451","702","148","114","59",".563",".784","19","122","56","1,904","348","523","1.21","146"
"Nikola Vucevic","CHI","C","1,447","903","266","57","60",".520",".835","121","139","82","2,746","132","476","1.91","179"
"Paolo Banchero","ORL","PF","1,437","497","269","39","60",".427",".738","85","200","72","2,430","394","394","1.35","160"
"RJ Barrett","NYK","SG,SF","1,431","368","201","15","31",".434",".740","121","164","73","2,477","290","389","1.23","179"
"Keldon Johnson","SAS","SF,PF","1,385","318","183","11","46",".452",".749","134","134","63","2,063","245","369","1.37","125"
"Spencer Dinwiddie","BKN","PG,SG","1,369","270","514","24","67",".438",".812","181","145","79","2,725","268","279","3.54","187"
"Kevin Durant","PHO","SF,PF","1,366","313","235","68","34",".560",".919","93","156","47","1,672","307","390","1.51","99"
"Kyle Kuzma","WAS","SF,PF","1,357","463","239","29","36",".448",".730","160","190","64","2,239","173","352","1.26","145"
"Tyler Herro","MIA","PG,SG","1,347","360","280","16","51",".439",".934","203","158","67","2,336","170","284","1.77","101"
"Buddy Hield","IND","SG,SF","1,344","400","225","26","92",".458",".822","288","139","80","2,482","106","187","1.62","156"
"Fred VanVleet","TOR","PG,SG","1,335","280","496","38","123",".393",".898","207","140","69","2,535","254","230","3.54","193"
"Paul George","LAC","SF,PF,SG","1,332","342","288","20","83",".457",".871","158","176","56","1,939","256","301","1.64","159"
"Terry Rozier","CHA","PG,SG","1,329","259","319","16","74",".415",".809","165","134","63","2,221","178","328","2.38","119"
"Anfernee Simons","POR","PG,SG","1,306","161","253","14","42",".447",".894","212","128","62","2,169","160","255","1.98","142"
"Bennedict Mathurin","IND","SF","1,301","318","116","13","48",".434",".830","100","152","78","2,223","375","313","0.76","162"
"Jamal Murray","DEN","PG,SG","1,298","257","400","16","66",".454",".833","172","145","65","2,133","180","301","2.76","103"
"Jrue Holiday","MIL","PG,SG","1,290","341","495","25","79",".479",".859","158","197","67","2,184","152","332","2.51","116"
"Jerami Grant","POR","SF,PF","1,290","283","150","53","51",".475",".813","144","116","63","2,246","278","290","1.29","152"
"Evan Mobley","CLE","C,PF","1,276","711","224","119","60",".554",".673","22","146","79","2,715","204","503","1.53","218"
"Bojan Bogdanovic","DET","SF,PF","1,273","223","152","8","34",".488",".885","145","135","59","1,893","268","285","1.13","113"
"Jordan Clarkson","UTH","PG,SG","1,271","246","270","13","33",".444",".816","155","186","61","1,988","200","303","1.45","120"
"D'Angelo Russell","LAL","PG,SG","1,263","215","437","29","69",".470",".829","194","186","71","2,304","179","251","2.35","140"
"Josh Giddey","OKC","PG,SG","1,260","599","469","31","57",".482",".731","76","211","76","2,367","106","463","2.22","143"
"Desmond Bane","MEM","PG,SG,SF","1,247","291","254","22","56",".479",".883","166","126","58","1,841","181","284","2.02","150"
"Kawhi Leonard","LAC","SG,SF,PF OUT","1,239","338","204","28","72",".512",".871","104","88","52","1,747","243","342","2.32","84"
